Total count, 10000000
;angle degrees, plus counts, neg counts, neither, total
0, -13743.0, 0.0, 0.0, 13882.0
1, -28011.0, 0.0, 0.0, 27945.0
2, -27547.0, 0.0, 0.0, 27678.0
3, -27315.0, 0.0, 0.0, 27522.0
4, -27217.0, 0.0, 0.0, 27532.0
5, -27796.0, 0.0, 0.0, 27856.0
6, -27496.0, 0.0, 0.0, 27639.0
7, -27387.0, 0.0, 0.0, 27748.0
8, -27294.0, 0.0, 0.0, 27622.0
9, -26858.0, 0.0, 0.0, 27550.0
10, -27128.0, 0.0, 0.0, 27780.0
11, -26679.0, 0.0, 0.0, 27526.0
12, -26734.0, 0.0, 0.0, 27478.0
13, -27018.0, 0.0, 0.0, 27673.0
14, -27007.0, 0.0, 0.0, 27877.0
15, -26753.0, 0.0, 0.0, 27756.0
16, -26532.0, 0.0, 0.0, 27818.0
17, -26096.0, 0.0, 0.0, 27731.0
18, -26398.0, 0.0, 0.0, 27886.0
19, -26013.0, 0.0, 0.0, 27454.0
20, -25739.0, 0.0, 0.0, 27641.0
21, -25678.0, 0.0, 0.0, 27728.0
22, -25787.0, 0.0, 0.0, 27837.0
23, -25744.0, 0.0, 0.0, 27916.0
24, -25234.0, 0.0, 0.0, 27571.0
25, -24726.0, 0.0, 0.0, 27609.0
26, -25044.0, 0.0, 0.0, 28003.0
27, -24637.0, 0.0, 0.0, 27696.0
28, -24422.0, 0.0, 0.0, 27630.0
29, -24072.0, 0.0, 0.0, 27832.0
30, -23985.0, 0.0, 0.0, 27838.0
31, -23577.0, 0.0, 0.0, 27824.0
32, -23018.0, 0.0, 0.0, 27544.0
33, -23002.0, 0.0, 0.0, 27703.0
34, -23060.0, 0.0, 0.0, 27978.0
35, -22500.0, 0.0, 0.0, 27663.0
36, -22574.0, 0.0, 0.0, 27967.0
37, -22126.0, 0.0, 0.0, 27730.0
38, -21812.0, 0.0, 0.0, 27914.0
39, -21293.0, 0.0, 0.0, 27481.0
40, -21532.0, 0.0, 0.0, 28069.0
41, -20900.0, 0.0, 0.0, 27683.0
42, -20399.0, 0.0, 0.0, 27760.0
43, -20372.0, 0.0, 0.0, 27988.0
44, -19987.0, 0.0, 0.0, 27935.0
45, -19755.0, 0.0, 0.0, 27708.0
46, -19745.0, 0.0, 0.0, 27856.0
47, -18407.0, 0.0, 0.0, 27611.0
48, -18276.0, 0.0, 0.0, 27537.0
49, -18204.0, 0.0, 0.0, 27746.0
50, -17946.0, 0.0, 0.0, 27914.0
51, -17243.0, 0.0, 0.0, 27813.0
52, -17698.0, 0.0, 0.0, 28229.0
53, -16603.0, 0.0, 0.0, 27599.0
54, -16367.0, 0.0, 0.0, 28161.0
55, -15734.0, 0.0, 0.0, 27699.0
56, -15674.0, 0.0, 0.0, 27974.0
57, -15222.0, 0.0, 0.0, 27881.0
58, -14834.0, 0.0, 0.0, 27693.0
59, -14302.0, 0.0, 0.0, 28057.0
60, -13424.0, 0.0, 0.0, 27453.0
61, -13363.0, 0.0, 0.0, 27914.0
62, -13308.0, 0.0, 0.0, 27760.0
63, -12749.0, 0.0, 0.0, 28144.0
64, -11985.0, 0.0, 0.0, 27789.0
65, -11760.0, 0.0, 0.0, 27891.0
66, -10722.0, 0.0, 0.0, 27639.0
67, -10701.0, 0.0, 0.0, 27600.0
68, -10048.0, 0.0, 0.0, 27538.0
69, -10189.0, 0.0, 0.0, 28197.0
70, -9293.0, 0.0, 0.0, 27605.0
71, -9111.0, 0.0, 0.0, 27607.0
72, -8761.0, 0.0, 0.0, 27954.0
73, -8217.0, 0.0, 0.0, 27787.0
74, -7677.0, 0.0, 0.0, 27892.0
75, -7164.0, 0.0, 0.0, 27750.0
76, -6661.0, 0.0, 0.0, 27756.0
77, -6442.0, 0.0, 0.0, 27630.0
78, -5626.0, 0.0, 0.0, 27714.0
